"Data file recorded 2020/12/8  11:40:17"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
103.000,  5.900,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.350, 88.000,-33.000,  1.000,-1011.000
104.000,  5.999,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.200, 88.000,-30.000, -6.000,-970.000
105.000,  6.104,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.380, 88.000,-12.000,-54.000,-1039.000
106.000,  6.202,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.230, 88.000,-39.000, 27.000,-989.000
107.000,  6.305,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.280, 88.000,-34.000,  2.000,-975.000
108.000,  6.411,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.330, 88.000,-24.000,-22.000,-1013.000
109.000,  6.509,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.240, 88.000,-24.000,-35.000,-1023.000
110.000,  6.611,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.390, 88.000,-19.000,-26.000,-990.000
111.000,  6.712,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.370, 89.000,-16.000,  0.000,-994.000
112.000,  6.817,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 78.000, 80.000, 68.000, 20.000, 29.000,196.490, 89.000,-24.000,  3.000,-991.000
113.000,  6.916,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  2.000,  0.000,  0.000, 77.000, 80.000, 68.000, 20.000, 29.000,196.420, 89.000,-30.000,-10.000,-998.000
114.000,  7.019,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000,  0.000,  0.000, 77.000, 80.000, 68.000, 20.000, 29.000,196.350, 89.000,-46.000, 30.000,-1032.000
115.000,  7.120,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  2.000, -1.000,  0.000, 77.000, 80.000, 68.000, 20.000, 29.000,196.370, 89.000,  8.000,-34.000,-1006.000
